epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9174.65,1.26657,0.69813,1.28089,0.97979,0.9896,0.98772,0.66383,1.25079,0.45359,1.36232,0.000643101,0.000643101,0.000643101
43,9375.63,1.26622,0.69171,1.27571,0.98092,0.99038,0.98848,0.66512,1.25555,0.45677,1.35967,0.000628101,0.000628101,0.000628101
44,9596.82,1.2557,0.68058,1.27454,0.97924,0.99065,0.98819,0.66639,1.25344,0.44567,1.36368,0.000612981,0.000612981,0.000612981
45,9784.37,1.25654,0.68458,1.27442,0.9818,0.99018,0.98847,0.66721,1.25689,0.44678,1.36429,0.000597754,0.000597754,0.000597754
46,10007.6,1.2527,0.67772,1.27254,0.9805,0.9905,0.98908,0.66856,1.25455,0.44805,1.3655,0.000582435,0.000582435,0.000582435
47,10194.9,1.24989,0.67181,1.27174,0.98238,0.99001,0.98907,0.6647,1.25241,0.44722,1.36099,0.00056704,0.00056704,0.00056704
48,10445.8,1.24482,0.66124,1.26688,0.97936,0.99148,0.98921,0.66512,1.25447,0.44781,1.36275,0.000551584,0.000551584,0.000551584
49,10689.6,1.24949,0.66645,1.27348,0.98182,0.99027,0.98947,0.6656,1.25895,0.44008,1.36236,0.000536081,0.000536081,0.000536081
50,10953.5,1.2389,0.65977,1.26692,0.98132,0.99156,0.98967,0.67024,1.24834,0.43325,1.36242,0.000520548,0.000520548,0.000520548
51,11197.7,1.23952,0.65238,1.26587,0.98153,0.99094,0.98839,0.67134,1.24671,0.42899,1.36015,0.000505,0.000505,0.000505
52,11452.2,1.24078,0.65915,1.26371,0.97972,0.99068,0.98814,0.66553,1.24843,0.43128,1.36005,0.000489452,0.000489452,0.000489452
53,11639.9,1.2368,0.65836,1.26832,0.9821,0.99047,0.98829,0.66994,1.25337,0.43158,1.36039,0.000473919,0.000473919,0.000473919
54,11863.5,1.23222,0.65294,1.26069,0.97975,0.99148,0.98808,0.66766,1.25611,0.43285,1.36031,0.000458416,0.000458416,0.000458416
55,12051.7,1.22806,0.64241,1.26011,0.98092,0.99001,0.98846,0.66618,1.25649,0.42869,1.36116,0.00044296,0.00044296,0.00044296
56,12269,1.22131,0.64187,1.25378,0.98023,0.99029,0.98858,0.66819,1.24811,0.43052,1.35912,0.000427565,0.000427565,0.000427565
57,12471.2,1.22214,0.63537,1.25573,0.98175,0.991,0.98918,0.67095,1.25081,0.42727,1.3575,0.000412246,0.000412246,0.000412246
58,12694.3,1.22652,0.63768,1.26049,0.98117,0.99187,0.99003,0.67087,1.24853,0.4234,1.35808,0.000397019,0.000397019,0.000397019
59,12896.1,1.22222,0.63073,1.25673,0.97911,0.99103,0.98957,0.672,1.24693,0.42458,1.35524,0.000381899,0.000381899,0.000381899
60,13123,1.21319,0.62872,1.253,0.98183,0.9917,0.98914,0.67287,1.2443,0.42349,1.35944,0.000366899,0.000366899,0.000366899
61,13325,1.20852,0.62346,1.2522,0.98156,0.99222,0.99022,0.67171,1.25127,0.42402,1.35892,0.000352037,0.000352037,0.000352037
62,13548.4,1.20803,0.61769,1.24631,0.98338,0.99148,0.98978,0.67066,1.24947,0.41837,1.35815,0.000337325,0.000337325,0.000337325
63,13749.8,1.21045,0.61617,1.24869,0.98065,0.99121,0.98959,0.67232,1.24956,0.41905,1.36125,0.000322778,0.000322778,0.000322778
64,13966.8,1.20047,0.61362,1.24691,0.9811,0.99219,0.9908,0.67246,1.24864,0.41558,1.35916,0.000308412,0.000308412,0.000308412
65,14154.5,1.19872,0.61533,1.24433,0.98209,0.99104,0.9897,0.67189,1.24918,0.41792,1.35778,0.000294239,0.000294239,0.000294239
66,14376.5,1.20295,0.6129,1.24757,0.98243,0.99265,0.99096,0.66895,1.25032,0.41776,1.3629,0.000280275,0.000280275,0.000280275
67,14577.7,1.19114,0.60761,1.24182,0.98206,0.99147,0.99012,0.67145,1.24949,0.41553,1.36131,0.000266532,0.000266532,0.000266532
68,14801.3,1.19019,0.60744,1.24315,0.98143,0.99156,0.99013,0.67271,1.24981,0.4137,1.36033,0.000253024,0.000253024,0.000253024
69,15002.2,1.1906,0.60496,1.2407,0.98157,0.9919,0.99026,0.67226,1.25083,0.41567,1.36021,0.000239766,0.000239766,0.000239766
70,15225.6,1.18836,0.60146,1.23907,0.98312,0.99164,0.98984,0.66839,1.24934,0.41053,1.36118,0.000226769,0.000226769,0.000226769
